_id,resultId,examId,examCode,userOpenid,action,questionIndex,timestamp,description,questionType,previousValue,currentValue,answer,from,to
00000000000000000000000000000038,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894478580,"拖动C(3→2)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""C""",3,2
00000000000000000000000000000039,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894481897,"拖动A(1→4)，A,C,B,D → C,B,D,A",sorting,"""A,C,B,D""","""C,B,D,A""","""A""",1,4
0000000000000000000000000000003a,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894487925,"拖动B(2→3)，C,B,D,A → C,D,B,A",sorting,"""C,B,D,A""","""C,D,B,A""","""B""",2,3
0000000000000000000000000000003b,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894493342,"拖动C(1→3)，C,D,B,A → D,B,C,A",sorting,"""C,D,B,A""","""D,B,C,A""","""C""",1,3
0000000000000000000000000000003c,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894498952,"拖动D(1→4)，D,B,C,A → B,C,A,D",sorting,"""D,B,C,A""","""B,C,A,D""","""D""",1,4
0000000000000000000000000000003d,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894501861,"拖动A(3→1)，B,C,A,D → A,B,C,D",sorting,"""B,C,A,D""","""A,B,C,D""","""A""",3,1
0000000000000000000000000000003e,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,1,1782894504609,"拖动B(2→3)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""B""",2,3
0000000000000000000000000000003f,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,1,1782894509053,离开第1题,,,,,,
00000000000000000000000000000040,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,4,1782894511411,进入第2题,sorting,,,,,
00000000000000000000000000000041,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,4,1782894523583,"拖动C(3→2)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""C""",3,2
00000000000000000000000000000042,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,4,1782894529727,"拖动B(3→1)，A,C,B,D → B,A,C,D",sorting,"""A,C,B,D""","""B,A,C,D""","""B""",3,1
00000000000000000000000000000043,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,4,1782894531999,"拖动A(2→1)，B,A,C,D → A,B,C,D",sorting,"""B,A,C,D""","""A,B,C,D""","""A""",2,1
00000000000000000000000000000044,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,4,1782894537898,"拖动C(3→2)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""C""",3,2
00000000000000000000000000000045,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,4,1782894539610,"拖动D(4→3)，A,C,B,D → A,C,D,B",sorting,"""A,C,B,D""","""A,C,D,B""","""D""",4,3
00000000000000000000000000000046,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,4,1782894545730,离开第2题,,,,,,
00000000000000000000000000000047,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,6,1782894549158,进入第3题,sorting,,,,,
00000000000000000000000000000048,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,6,1782894572933,"拖动D(4→1)，A,B,C,D → D,A,B,C",sorting,"""A,B,C,D""","""D,A,B,C""","""D""",4,1
00000000000000000000000000000049,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,6,1782894579150,"拖动C(4→3)，D,A,B,C → D,A,C,B",sorting,"""D,A,B,C""","""D,A,C,B""","""C""",4,3
0000000000000000000000000000004a,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,6,1782894581874,"拖动A(2→4)，D,A,C,B → D,C,B,A",sorting,"""D,A,C,B""","""D,C,B,A""","""A""",2,4
0000000000000000000000000000004b,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,6,1782894584420,"拖动C(2→3)，D,C,B,A → D,B,C,A",sorting,"""D,C,B,A""","""D,B,C,A""","""C""",2,3
0000000000000000000000000000004c,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,6,1782894587664,离开第3题,,,,,,
0000000000000000000000000000004d,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,2,1782894588776,进入第4题,sorting,,,,,
0000000000000000000000000000004e,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,2,1782894603485,离开第4题,,,,,,
0000000000000000000000000000004f,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,5,1782894605406,进入第5题,sorting,,,,,
00000000000000000000000000000050,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,5,1782894619299,"拖动A(1→2)，A,B,C,D → B,A,C,D",sorting,"""A,B,C,D""","""B,A,C,D""","""A""",1,2
00000000000000000000000000000051,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,5,1782894624112,离开第5题,,,,,,
00000000000000000000000000000052,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,3,1782894626468,进入第6题,sorting,,,,,
00000000000000000000000000000053,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,3,1782894638460,"拖动C(3→2)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""C""",3,2
00000000000000000000000000000054,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,3,1782894642345,"拖动B(3→4)，A,C,B,D → A,C,D,B",sorting,"""A,C,B,D""","""A,C,D,B""","""B""",3,4
00000000000000000000000000000055,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,3,1782894648326,"拖动D(3→2)，A,C,D,B → A,D,C,B",sorting,"""A,C,D,B""","""A,D,C,B""","""D""",3,2
00000000000000000000000000000056,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,3,1782894652170,离开第6题,,,,,,
00000000000000000000000000000057,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,9,1782894653459,进入第7题,sorting,,,,,
00000000000000000000000000000058,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894675011,"拖动D(4→3)，A,B,C,D → A,B,D,C",sorting,"""A,B,C,D""","""A,B,D,C""","""D""",4,3
00000000000000000000000000000059,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894678795,"拖动A(1→3)，A,B,D,C → B,D,A,C",sorting,"""A,B,D,C""","""B,D,A,C""","""A""",1,3
0000000000000000000000000000005a,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894681158,"拖动D(2→3)，B,D,A,C → B,A,D,C",sorting,"""B,D,A,C""","""B,A,D,C""","""D""",2,3
0000000000000000000000000000005b,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894684633,"拖动A(2→1)，B,A,D,C → A,B,D,C",sorting,"""B,A,D,C""","""A,B,D,C""","""A""",2,1
0000000000000000000000000000005c,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894686362,"拖动C(4→1)，A,B,D,C → C,A,B,D",sorting,"""A,B,D,C""","""C,A,B,D""","""C""",4,1
0000000000000000000000000000005d,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894692840,"拖动B(3→2)，C,A,B,D → C,B,A,D",sorting,"""C,A,B,D""","""C,B,A,D""","""B""",3,2
0000000000000000000000000000005e,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894695743,"拖动D(4→3)，C,B,A,D → C,B,D,A",sorting,"""C,B,A,D""","""C,B,D,A""","""D""",4,3
0000000000000000000000000000005f,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894698198,"拖动A(4→1)，C,B,D,A → A,C,B,D",sorting,"""C,B,D,A""","""A,C,B,D""","""A""",4,1
00000000000000000000000000000060,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,9,1782894704693,"拖动C(2→4)，A,C,B,D → A,B,D,C",sorting,"""A,C,B,D""","""A,B,D,C""","""C""",2,4
00000000000000000000000000000061,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,9,1782894710678,离开第7题,,,,,,
00000000000000000000000000000062,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,10,1782894713580,进入第8题,sorting,,,,,
00000000000000000000000000000063,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,10,1782894733206,"拖动A(1→3)，A,B,C,D → B,C,A,D",sorting,"""A,B,C,D""","""B,C,A,D""","""A""",1,3
00000000000000000000000000000064,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,10,1782894736615,"拖动C(2→1)，B,C,A,D → C,B,A,D",sorting,"""B,C,A,D""","""C,B,A,D""","""C""",2,1
00000000000000000000000000000065,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,10,1782894742614,"拖动D(4→2)，C,B,A,D → C,D,B,A",sorting,"""C,B,A,D""","""C,D,B,A""","""D""",4,2
00000000000000000000000000000066,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,10,1782894752243,离开第8题,,,,,,
00000000000000000000000000000067,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,7,1782894755719,进入第9题,sorting,,,,,
00000000000000000000000000000068,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,7,1782894776417,"拖动D(4→2)，A,B,C,D → A,D,B,C",sorting,"""A,B,C,D""","""A,D,B,C""","""D""",4,2
00000000000000000000000000000069,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,7,1782894782870,"拖动A(1→3)，A,D,B,C → D,B,A,C",sorting,"""A,D,B,C""","""D,B,A,C""","""A""",1,3
0000000000000000000000000000006a,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,7,1782894785474,"拖动B(2→4)，D,B,A,C → D,A,C,B",sorting,"""D,B,A,C""","""D,A,C,B""","""B""",2,4
0000000000000000000000000000006b,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,7,1782894790802,"拖动C(3→1)，D,A,C,B → C,D,A,B",sorting,"""D,A,C,B""","""C,D,A,B""","""C""",3,1
0000000000000000000000000000006c,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,7,1782894797774,离开第9题,,,,,,
0000000000000000000000000000006d,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,8,1782894798708,进入第10题,sorting,,,,,
0000000000000000000000000000006e,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,8,1782894821177,"拖动B(2→3)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""B""",2,3
0000000000000000000000000000006f,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,8,1782894825810,"拖动A(1→2)，A,C,B,D → C,A,B,D",sorting,"""A,C,B,D""","""C,A,B,D""","""A""",1,2
00000000000000000000000000000070,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,8,1782894830833,"拖动C(1→4)，C,A,B,D → A,B,D,C",sorting,"""C,A,B,D""","""A,B,D,C""","""C""",1,4
00000000000000000000000000000071,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,8,1782894834393,"拖动B(2→3)，A,B,D,C → A,D,B,C",sorting,"""A,B,D,C""","""A,D,B,C""","""B""",2,3
00000000000000000000000000000072,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,change_sorting_option,8,1782894837306,"拖动A(1→2)，A,D,B,C → D,A,B,C",sorting,"""A,D,B,C""","""D,A,B,C""","""A""",1,2
00000000000000000000000000000073,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,leave_question,8,1782894844071,离开第10题,,,,,,
00000000000000000000000000000074,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,submit_exam,-1,1782894844868,提交试卷,,,,,,
00000000000000000000000000000075,00000000000000000000000000000003,00000000000000000000000000000003,QT-SIM-003-4737,sim_openid_003_147733,start_exam,-1,1782895352205,开始答题,,,,,,
00000000000000000000000000000076,00000000000000000000000000000003,00000000000000000000000000000003,QT-SIM-003-4737,sim_openid_003_147733,enter_exam,-1,1782895352277,进入试卷页面,,,,,,
00000000000000000000000000000077,00000000000000000000000000000003,00000000000000000000000000000003,QT-SIM-003-4737,sim_openid_003_147733,enter_question,1,1782895354633,进入第1题,sorting,,,,,
00000000000000000000000000000078,00000000000000000000000000000003,00000000000000000000000000000003,QT-SIM-003-4737,sim_openid_003_147733,change_sorting_option,1,1782895367295,"拖动D(4→3)，A,B,C,D → A,B,D,C",sorting,"""A,B,C,D""","""A,B,D,C""","""D""",4,3
